10008,travel,0.525358
10008,travel,0.483231
10008,technology and computing,0.473528
10016,travel,0.699619
10016,travel,0.477773
10016,home and garden,0.310425
10033,travel,0.572972
10033,health and fitness,0.499513
10033,sports,0.372079
10041,travel,0.63271
10041,technology and computing,0.443106
10041,sports,0.439616
10079,travel,0.706111
10079,travel,0.455788
10079,travel,0.384865
10081,religion and spirituality,0.612322
10081,travel,0.454103
10081,travel,0.314767
10086,travel,0.701839
10086,travel,0.286085
10086,travel,0.215564
10094,religion and spirituality,0.613026
10094,law, govt and politics,0.253462
10094,finance,0.0856978
10106,travel,0.757346
10106,travel,0.269019
10106,travel,0.231123
1011,technology and computing,0.557949
1011,food and drink,0.528972
1011,travel,0.410043
10121,travel,0.543946
10121,real estate,0.4503
10121,travel,0.407179
10132,food and drink,0.582409
10132,travel,0.51756
10132,travel,0.322287
10133,travel,0.550626
10133,travel,0.455948
10133,travel,0.365885
10134,travel,0.841667
10134,technology and computing,0.44723
10134,travel,0.274939
10137,travel,0.688747
10137,technology and computing,0.479225
10137,technology and computing,0.237873
10138,business and industrial,0.436217
10138,style and fashion,0.410326
10138,travel,0.328196
1014,travel,0.482712
1014,food and drink,0.416254
1014,travel,0.376621
10150,travel,0.609261
10150,science,0.518214
10150,health and fitness,0.355041
1016,travel,0.484116
1016,travel,0.441587
1016,travel,0.438256
10184,travel,0.682385
10184,religion and spirituality,0.31271
10184,religion and spirituality,0.309877
10185,travel,0.582282
10185,travel,0.46548
10185,travel,0.362973
10211,travel,0.519436
10211,sports,0.445614
10211,travel,0.382908
10212,travel,0.581919
10212,food and drink,0.395986
10212,travel,0.361227
10213,travel,0.556475
10213,food and drink,0.480356
10213,travel,0.437158
1022,art and entertainment,0.445135
1022,travel,0.385501
1022,sports,0.374042
10222,education,0.551374
10222,education,0.399388
10222,science,0.162291
10233,travel,0.581115
10233,shopping,0.47111
10233,real estate,0.385142
10237,technology and computing,0.998009
10237,technology and computing,0.0434374
10237,technology and computing,0.0339853
1024,real estate,0.438655
1024,travel,0.400359
1024,travel,0.376391
10244,travel,0.577563
10244,sports,0.513464
10244,travel,0.501241
10245,shopping,0.616124
10245,science,0.502378
10245,travel,0.464549
10246,travel,0.632809
10246,travel,0.632495
10246,travel,0.428701
10282,pets,0.468982
10282,pets,0.453741
10282,business and industrial,0.430449
10288,society,0.470547
10288,shopping,0.439009
10288,food and drink,0.429849
10306,travel,0.736484
10306,travel,0.356981
10306,travel,0.350313
10308,travel,0.633729
10308,science,0.454852
10308,travel,0.45363
10309,travel,0.89004
10309,family and parenting,0.288178
10309,travel,0.27706
1032,travel,0.611511
1032,food and drink,0.450965
1032,travel,0.442648
10333,travel,0.605456
10333,travel,0.464758
10333,food and drink,0.238623
10336,travel,0.481723
10336,travel,0.473753
10336,sports,0.35867
10337,travel,0.593708
10337,food and drink,0.513819
10337,food and drink,0.333967
10346,travel,0.479615
10346,travel,0.394405
10346,travel,0.37762
10348,travel,0.422416
10348,travel,0.41545
10348,travel,0.375342
10351,travel,0.686716
10351,automotive and vehicles,0.296192
10351,travel,0.277373
10352,religion and spirituality,0.560418
10352,travel,0.475799
10352,travel,0.383925
10357,science,0.60261
10357,travel,0.318865
10357,sports,0.202229
10365,travel,0.542763
10365,pets,0.44195
10365,family and parenting,0.37915
10367,food and drink,0.429412
10367,business and industrial,0.426685
10367,sports,0.424881
10372,travel,0.54552
10372,travel,0.442468
10372,sports,0.417403
10384,travel,0.653929
10384,food and drink,0.444606
10384,food and drink,0.338683
10387,home and garden,0.576599
10387,travel,0.421848
10387,travel,0.329837
10391,sports,0.733244
10391,travel,0.44743
10391,education,0.445635
10397,travel,0.422806
10397,travel,0.398636
10397,travel,0.393631
10399,travel,0.702397
10399,food and drink,0.407182
10399,home and garden,0.32688
10400,travel,0.517672
10400,sports,0.499174
10400,technology and computing,0.456275
10403,sports,0.558011
10403,art and entertainment,0.446183
10403,travel,0.438727
1041,travel,0.486111
1041,travel,0.41911
1041,science,0.353909
10424,travel,0.46613
10424,home and garden,0.40012
10424,sports,0.397081
10434,travel,0.580326
10434,travel,0.50409
10434,travel,0.500963
10435,travel,0.806976
10435,technology and computing,0.501293
10435,technology and computing,0.104582
10436,sports,0.635021
10436,food and drink,0.499982
10436,science,0.499974
1047,travel,0.791524
1047,technology and computing,0.328515
1047,business and industrial,0.265908
10492,sports,0.69993
10492,religion and spirituality,0.407288
